Id;Lon;Lat;Z_DSM;Bearing;DistanceValue;DistanceUnit;Z_sampled;dZ
219;0;0;91.3309;215.6203;6.164;m;;
220;0;0;91.3309;215.6203;8.0527;m;;
221;0;0;91.3309;215.6203;6.5992;m;;
222;0;0;91.3309;215.6204;6.6516;m;;
223;0;0;91.3931;215.6204;7.8825;m;;
224;0;0;91.3931;215.6204;7.6544;m;;
225;0;0;91.3931;215.6205;6.8909;m;;
226;0;0;91.1541;215.6205;6.8827;m;;
227;0;0;91.1541;215.6205;7.145;m;;
228;0;0;91.1541;215.6205;6.7843;m;;
229;0;0;91.4195;215.6206;6.183;m;;
230;0;0;91.4195;215.6206;6.3059;m;;
231;0;0;91.3191;215.6206;7.102;m;;
232;0;0;91.3191;215.6207;7.5167;m;;
233;0;0;91.3191;215.6207;7.0015;m;;
234;0;0;91.1981;215.6207;7.438;m;;
235;0;0;91.1981;215.6208;6.2155;m;;
236;0;0;91.1981;215.6208;6.2465;m;;
237;0;0;91.1981;215.6208;6.3298;m;;
238;0;0;91.1981;215.6208;6.8136;m;;
239;0;0;91.1981;215.6209;6.3405;m;;
240;0;0;91.5873;215.6209;7.1857;m;;
241;0;0;91.0371;215.6209;8.0331;m;;
242;0;0;91.0371;215.621;7.3794;m;;
243;0;0;91.0371;215.621;7.6911;m;;
244;0;0;91.0371;215.621;6.5669;m;;
245;0;0;91.2031;215.6211;7.185;m;;
246;0;0;91.2031;215.6211;7.8111;m;;
247;0;0;91.2031;215.6211;6.6156;m;;
248;0;0;91.2031;215.6212;7.5784;m;;
249;0;0;91.2031;215.6212;7.674;m;;
250;0;0;91.0792;215.6212;6.5046;m;;
251;0;0;91.0792;215.6213;7.6678;m;;
252;0;0;91.0792;215.6213;6.1368;m;;
253;0;0;91.0792;215.6213;6.7341;m;;
254;0;0;91.0792;215.6213;6.2566;m;;
255;0;0;91.2129;215.6214;7.0817;m;;
256;0;0;91.05;215.6214;7.413;m;;
257;0;0;91.05;215.6214;7.245;m;;
258;0;0;91.05;215.6215;7.8105;m;;
259;0;0;91.0385;215.6215;6.3865;m;;
260;0;0;91.0385;215.6215;7.0003;m;;
261;0;0;91.1742;215.6216;7.3374;m;;
262;0;0;91.1742;215.6216;6.1679;m;;
263;0;0;91.1742;215.6216;7.2043;m;;
264;0;0;91.1742;215.6216;7.8486;m;;
265;0;0;91.1742;215.6217;7.2731;m;;
266;0;0;91.1742;215.6217;6.32;m;;
267;0;0;90.8798;215.6217;7.8427;m;;
268;0;0;90.601;215.6218;6.9914;m;;
269;0;0;90.601;215.6218;7.6192;m;;
270;0;0;90.601;215.6218;6.1928;m;;
271;0;0;90.601;215.6219;6.8204;m;;
272;0;0;90.5244;215.6219;7.9987;m;;
273;0;-5.60E-05;90.1795;215.6219;7.1474;m;;
274;0;-9.58E-05;90.1795;215.622;7.6148;m;;
275;-3.98E-05;-0.0001518;90.1795;215.622;7.6202;m;;
276;0;-0.0001518;90.1795;215.622;6.7649;m;;
277;0;-5.60E-05;90.3354;215.6221;7.8835;m;;
278;0;0;90.3354;215.6221;6.8162;m;;
279;0;0;90.3354;215.6221;7.5457;m;;
280;0;0;90.3354;215.6221;7.8997;m;;
281;0;0;90.3354;215.6222;7.9475;m;;
282;0;0;90.3062;215.6222;6.939;m;;
283;0;0;90.3062;215.6222;7.9399;m;;
284;0;0;90.3062;215.6223;8.1038;m;;
285;0;0;90.3062;215.6223;7.5193;m;;
286;0;0;90.5133;215.6223;7.3092;m;;
287;0;0;90.5843;215.6224;7.3688;m;;
288;0;0;90.5843;215.6224;7.6337;m;;
289;0;0;90.5843;215.6224;8.031;m;;
290;0;0;90.5843;215.6225;7.2979;m;;
291;0;0;90.5843;215.6225;7.0218;m;;
292;0;0;90.3373;215.6225;7.6798;m;;
293;0;0;90.3373;215.6226;8.0885;m;;
294;0;0;90.3373;215.6226;6.8648;m;;
295;0;0;90.398;215.6226;6.5373;m;;
296;0;0;90.398;215.6227;6.8817;m;;
297;0;0;90.398;215.6227;7.0794;m;;
298;0;0;90.5319;215.6227;7.5214;m;;
299;0;0;90.5319;215.6228;6.1413;m;;
300;0;0;90.5342;215.6228;6.9946;m;;
301;0;0;90.5342;215.6228;6.4583;m;;
302;0;0;90.5342;215.6228;6.4815;m;;
303;0;0;90.5342;236.6528;6.1359;m;;
304;0;0;90.5039;238.2481;6.5;m;;
305;0;0;90.5039;238.2481;6.0293;m;;
306;0;0;90.5039;238.2481;6.1696;m;;
307;0;-2.48E-05;90.5039;238.2481;5.5814;m;;
308;0;-6.47E-05;90.6043;238.2481;5.2194;m;;
309;-3.99E-05;-8.96E-05;90.6043;238.2482;5.2227;m;;
310;0;-8.96E-05;90.6043;238.2482;5.6924;m;;
311;0;-2.48E-05;90.6043;238.2482;5.7422;m;;
312;0;0;90.5802;238.2482;6.758;m;;
313;0;0;90.5802;238.2482;5.8308;m;;
314;0;0;90.5707;238.2482;5.5438;m;;
315;0;0;90.5707;238.2482;5.8362;m;;
316;0;0;90.5707;238.2483;6.5469;m;;
317;0;0;90.5707;238.2483;6.2802;m;;
318;0;0;90.5707;238.2483;6.0611;m;;
319;0;0;90.5707;238.2483;6.0406;m;;
320;0;0;90.4288;238.2483;5.6254;m;;
321;0;-2.93E-05;90.4288;238.2483;6.0886;m;;
322;0;-7.63E-05;90.4288;238.2484;6.1534;m;;
323;-4.70E-05;-0.00010557;90.3189;238.2484;6.1541;m;;
324;0;-0.00010557;90.3189;238.2484;6.3908;m;;
325;0;-2.93E-05;90.3189;238.2484;5.56;m;;
326;0;0;90.3189;238.2484;6.5147;m;;
327;0;0;90.3189;238.2484;5.2182;m;;
328;0;0;90.3189;238.2485;6.3043;m;;
329;0;0;90.3189;238.2485;6.0703;m;;
330;0;0;90.3189;238.2485;6.4988;m;;
331;0;0;90.769;238.2485;6.8538;m;;
332;0;0;90.769;238.2485;6.2318;m;;
333;0;0;90.6183;238.2485;6.7121;m;;
334;0;0;90.8169;238.2486;5.7245;m;;
335;0;0;90.8169;238.2486;6.4564;m;;
336;0;0;90.8169;238.2486;5.9902;m;;
337;0;0;90.8169;238.2486;6.0185;m;;
338;0;0;90.8169;238.2486;5.677;m;;
339;0;0;90.8169;238.2486;6.0299;m;;
340;0;0;90.8169;238.2487;6.298;m;;
341;0;0;90.8169;238.2487;5.5591;m;;
342;0;0;90.7062;238.2487;6.4274;m;;
343;0;0;90.8434;238.2487;6.1385;m;;
344;0;0;90.8434;238.2487;5.5478;m;;
345;0;0;90.8434;238.2487;5.6602;m;;
346;0;0;90.4742;238.2488;6.3196;m;;
347;0;0;90.4742;238.2488;6.717;m;;
348;0;0;90.4742;238.2488;6.3345;m;;
349;0;0;90.4742;238.2488;5.2296;m;;
350;0;0;90.4742;238.2488;5.5803;m;;
351;0;0;90.4742;238.2488;5.4108;m;;
352;0;0;90.4742;238.2488;5.5826;m;;
353;0;0;90.752;238.2489;5.4059;m;;
354;0;0;90.5371;238.2489;6.393;m;;
355;0;0;90.5371;238.2489;6.3144;m;;
356;0;0;90.5371;238.2489;6.5126;m;;
357;0;0;90.4015;238.2489;5.791;m;;
358;0;0;90.4015;238.2489;6.0528;m;;
359;0;0;90.4015;238.249;5.2308;m;;
360;0;0;90.4015;238.249;6.2219;m;;
361;0;0;90.4015;238.249;5.65;m;;
